gov_scr,lo_comments,mc_comments,motion,mo_comments,opp_scr,pm_comments,debate,file_path
"84
83","“Good jop- were structed al specific .
J yOu

“Ye needed to explain points mare fully - Ju

Sand was bad, Then left it them.

efficiency

~ Conclusion as The stregert pot obyer speech.
","- Excellent refutation . Good details

-But you needed to rebuild . That was

3 problem. Bring the same _ rektation
",AI,"-- You were too repetition . Almost eventy

you had to say was about job loss al
poverty. The last two points were quick
and undeveloped. The repetition was
problematic.

- You needed mas evidence. Even hypatzetiich

need some grundy .
","83
85","-Good organization . It was hard to see

how it all fit into a  singl , unified
case .
-Yu didn't defin enough. Pows on

mechanization wasn't effectue al

advancent didn't Mean anythyhere .
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page1\result.json
"83
82","work = on word choice

to
lend He .
mw s ~ Hearity
of flustered.
you got
fee .
work on not fSeling
that anxiety
h
ave a new sont to

side

pel Ses & che a ag
","strong logic & organization

but flat volume & for
much reading from the
paper
good w / AO!

6:30 of 8 minutes .
","#1 increase
AI
LTA
net benefit","fine but did

You HeagdA
devolgs contentions
enough rebuttal
and restated 3 fines
same contentions

anly 5 8 Minutes

not

not

the
","19
28","1

good

and

Spotty

watch

sign posting

logic in

especialy in

speede on

eye contact

Lf ""
the um
14

confections

final

dask

phenomenore
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page10\result.json
"83
87","govs failure to address the point of

entry level job — Lesss

- Try not to rely as much on_ your — notes

- reab jgb checking side govs point, net
anetit is
ting Focns more on crauxing the debate

than refubing

Time : 6:42
","= “Argument — ‘on! :
rgems n innovation

but
i doesn't
side . gov .
""AS society evolves , Al will become
more important - excellent point,
3 good job pointing out side opps strawman

-"" Only the _ benefits of Al — exist

falls into the trap of overgenerat
mischaracterizing

i :(7 38
Time : ( good PO
","TH BT the increase in usage.
of AI
in the workforce
usage has a
net","ee

Allowed side gov. to define Al as

"" anything thab uses an algorithm in any

capacity . This definition includes
computers and most other forms of

technology .

-strong opening statement

- Better Logic than side gov , undundesten

of roles.

Try to spend more time refuting side.

ee tha QONNDONeNt
","84
82","slaves to ther ‘jobs!

1."" People are
satisfaction -

- good point oh low job
-great signposting
2. ""Make Massive Leops. innovation
- decent logic, but try to _think more ata
the Impacts of
- Ask more POIS your sida
Time : 3:37 -Crqux chould be

values vs values
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page11\result.json
"79
84","""filler jobs "" point . Strong

the
of evidence. The ""two
use
worlds "" tactic is an effective
tool for rebuttal, but you
Started me too early. | needed
q more systematic walk = through the

Fla
","Al not replacing
"" Simple "" jobs was
claiming Something
Same 05 proving
did 9 good job
on the flow, but
endelde ended up

anything

un
isn't
ycy

addressing

ven otten

backtracking

but

substantiated

the

everything
","THBT the increased usage of AI
in
the
workplace","Look at the judge throughout

yaur speech , you seemed
to be looking off inte
space. Good overall
Structure and 9 - ticulation
Be careful about making
claims

get too many .
","t8
98","frame the debate before

you go into your contentions .
Don't feel that yeu need
to accept every PO! .

This can interrupt the
flar of your speech

28 Be careful
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page12\result.json
"18
28露","igigaeveray is great.

__ the
* Nice work keeping

debate specifer - yourexemples

contentions

cele you e clearly.
sometimes that you're slotting |
° that doesn't

in a
r way
to argument 1 for —

example. Why |S .
‘or I'm notconvinest a proty that this

j mor
jatonale snderer

g It Seeme

int you

quite work ~

to one chat OPT i
love of dignity

CMOTPUT
","Good pont a at ae
hermen crror and Al ~ | meuent netw
distinguish een

.. here to
opportunity your opponents confleted
which other

as a foot like any

for

and Madiines -

Al i.
to genelize
S move . valumin i | ;
. ae that there's inherent on povingest
i : ;
fut ' sorg if You use this
into the ""ture a ig bed
1, Nave to explain why the p
you'

good signpesting ..
","тавт The
inсrел и мине
af ortifriend intelligere","—a

one

u Vou
have been ""not good.

‘Dig deeper into »

results
YOU say

here!

try to make more ye contact
- try

the creedste
!
dig degen °
O .
encourage YOU a more aawil
repereations

7.1 like

Try more signposting!
","لة
84","4 You have great speekry erezy. | might

recommend You slow down jush a tad.
i j ex
Careful about relying ON historical xamples
| ian); I bring
i _. revolution)’ if You
Cr.e, The industrial 9
you'll need © from that
theim i sourty -
had a Positive impact ON
signposting |

-good
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page13\result.json
"58
86","Pol on diligence ""ex""

person who money like the most 8:02

diligent
make progress (ok , admitted to school, but can
studies as much = as students who

focus on
; ; of
don't need a job ?) Good layout oO
and put 7 © work on nerves _ you're
senile logical case , unclear how

part-time job is beneficial since the © skills
mentioned would be delivered to working _ !

class who arguably already familiar d
- oesn
this w/ upper class minis
","= — ——
very fast | lal = debt- — are__interest
rates decreasing or increasing ? Good counter

w/ — military example  ( state govs funding

universities w/ tax payers more relevant @X.,

Good focus on short v. long term

benefits healthcare insis , good point re:
= i "" Ameri

generational poverty = Promises of erican

dream "" reason for jo bo creation unclear 9OO

example w/ obama great pol; had time , even
Taking Pol slow down in speaking to emphasiz
",THW forgive all student Joan debt.,"@public wealth Onegative economic impact

@ Student responsibility ; good opening

loan
to pay

increase economy, good work experience ; cost

to tax payer - good moral point, but not
mentioned in introduction * what is the
benefit of college educated part - time workers

those jobos to non -corlege

rather than leaving es
ingi in other countries

grads ? Unclear Bringing

- many non- usnations

oe eee | ies |

not best a™gument
","81
82","Dencourages schooling improves economy
good paint re: generational poverty , could be
fleshed out as a full contention (upper '
like doctor / MBA currently dass

professions
restricted ) How would — society
economic diversity at top"" 2'Good boulder analogy
and good Pois , good outline of conclusion ,

improve w/ Socio

opportunity pointing out fast food

missed
going to working class

experience only
Bade OD deliver even w
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page14\result.json
"82
84","“Good ion
refutations oreall , and response to

Pol . Strong speaking | The cruX was good -

enjoyed use of individ valism vs collectivism

would have prefered a_ little more organization

Some points were thrown in, but that's OK .

Chain of reasoning for economic argument

would've been nike too!.
","Good yefutation & response to pol

Enjoyed hand gestmes & use of the toncal @ s

Didn't continue your 1st cont. explicitly &

could benefit from more — signposting

Also would've _ likeed to see better

rebuilding of orguments 2 A
",THW forgive all student loan debt.,"Good sign posting & eye contact .

Could use a_ transition btwn refutation &
introduction . Your 3rd argument looked
like a counter - plan (presented as one) but
in reality was just the status quo. Luckily

Gov didn't point that out. Use of time &
","83
86","Opening : Good projection & introduction ,
recognized time wasn't up & anled

back . Had time to present 3rdl

Contention - why leave it to me ?

Final : Seemed to misunderstand resolution

,

overall very disorganized , missed some
main points - too  idetail -oriented. ' JUST
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page16\result.json
"18
85","Great

Organize

Gov's

Spend

crux /

speech

refutation

contentions

more

time

conclusions

on

to
","bood 5 peecu

refer to sides as"" u"" 7

you or Prull
rather than ""he ""or "" you'll
State .
contentions ——
at beginning
Loweigh your vs opponent

impacts
","THBt
the merease in usage of AI in the workforce has","Good spech
work on pointing
impacts of your
to TH,
47
spend more time

out

res

flashing
","ая
hs","Good points

work on organization / Roadmap

like
Sprend more of
1st Cort.
2nd Speech on
2nd cont.
supumery instead
3rd cont.

of rebuttal / — rebuil
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page17\result.json
"84
84","3 you hit great points, but could
work a bit on organization | Sett achecklist

of pomnik to hits provide a map and

get through arguments [ by/

Try to fill the time were excemples & olaboration

— Great Job!
","smrenst about
contentions

well spoken and your surgery by

was
great ads of the statu quo of the justice

werkan links & organization
was right, abut the bias in

port, in statu quo then is bing mit |
",THBT the morease in usage of antreazed intelligence in the works face hay ant benefit,"-> Very well organizer

( you made your late clear

IS YOU stopped your speech at 3:50 for

an i
& min speech, keep speaking

lve
not examples elaborak, refute try to

fill yar time

For (3) | would have focused more on the

Iyjrac) | 6Urathar)6 6than. — ukeyenit acall
",83,"Sgreat organization and _ delivery
is | would am for a_ bit were of

acreatre intro

>  Iddn't understand your contenten_ ),

well thought at
wewn't super g

> — arally feantoy fic preeches

For both: Opp
12.D
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page18\result.json
"路82
82","Good Sood
explabout

Post leconomyn
ending

good intro
«good bringing up

hat GPT _ -nicePickinguP
Chat na@lefiningA
wv You had many good

points, but they were.
dropped due to lack of

ern eens tee ae a |, aa

Needs Improvements

“increase «

PO! ;

* misinterpretation of
topic, said
» Al robots,

On taking over
point

: didn't — explain

bomb point ?

slight tangent

but | see your

nuclear
","Good Needs improvement

goocignposting 4would like more
-good ‘efustations eye contact
bout «try to avoid fillers,
""um""

ChatGPTeference economy can be benefitted

ble workfore
so0d evidence overall makes up

theaconomy
","THBT the increase
Usage of
A
in
Al in the
work force
has
G
net
benefit","Needsimprovement
Good Longépeeh mew

; _ ""3rd world ""- don't
-great Intro

say that, say developing
-good eyecontact (!)

wouldve liked to
seesignposting

- solid evidence

*good pacing
Speechnot longenough!)

-more refutation! atkat

a little
","४०
83","Good Q2min Needs improvement

“good points -would'vebenefitted

-good eyecontact from an_ intro to case
ood

g000 pacing -NO NEW EVIDENCE,

‘good signposting ,

in finabbeech you had

-good conclusion new info.

speech, solid ending
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page19\result.json
